| Government |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Anguilla |
| Dependency status: | overseas territory of the UK |
| Government type: | NA |
| Capital: | The Valley |
| Administrative divisions: | none (overseas territory of the UK) |
| Independence: | none (overseas territory of the UK) |
| National holiday: | Anguilla Day, 30 May |
| Constitution: | Anguilla Constitutional Order 1 April 1982; amended 1990 |
| Legal system: | based on English common law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor Peter JOHNSTON (since NA February 2000) |
| Executive branch: | head of government: Chief Minister Osbourne FLEMING (since 3 March 2000) |
| Executive branch: | cabinet: Executive Council appointed by the governor from among the elected members of the House of Assembly |
| Executive branch: | elections: none; the monarch is hereditary; governor appointed by the monarch; chief minister appointed by the governor from among the members of the House of Assembly |
| Legislative branch: | unicameral House of Assembly (11 seats total, 7 elected by direct popular vote, 2 ex officio members and 2 appointed; members serve five-year terms) |
| Legislative branch: | elections: last held 3 March 2000 (next to be held NA March 2005) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - UF 4, AUM 2, independent 1 |
| Judicial branch: | High Court (judge provided by Eastern Caribbean Supreme Court) |
| Political parties and leaders: | Anguilla United Movement or AUM [Hubert HUGHES]; The United Front or UF [Osbourne FLEMMING, Victor BANKS], a coalition of the Anguilla Democratic Party or ADP and the Anguilla National Alliance or ANA |
| Political pressure groups and leaders: | NA |
| International organization participation: | Caricom (associate), CDB, Interpol (subbureau), OECS (associate), ECLAC (associate) |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | blue, with the flag of the UK in the upper hoist-side quadrant and the Anguillan coat of arms centered in the outer half of the flag; the coat of arms depicts three orange dolphins in an interlocking circular design on a white background with blue wavy water below |
