| Government |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Aruba |
| Dependency status: | part of the Kingdom of the Netherlands; full autonomy in internal affairs obtained in 1986 upon separation from the Netherlands Antilles; Dutch Government responsible for defense and foreign affairs |
| Government type: | parliamentary democracy |
| Capital: | Oranjestad |
| Administrative divisions: | none (part of the Kingdom of the Netherlands) |
| Independence: | none (part of the Kingdom of the Netherlands) |
| National holiday: | Flag Day, 18 March |
| Constitution: | 1 January 1986 |
| Legal system: | based on Dutch civil law system, with some English common law influence |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen BEATRIX Wilhelmina Armgard of the Netherlands (since 30 April 1980), represented by Governor General Olindo KOOLMAN (since 1 January 1992) |
| Executive branch: | head of government: Prime Minister Jan (Henny) H. EMAN (since 29 July 1994) and Deputy Prime Minister Lili BEKE-MARTINEZ |
| Executive branch: | cabinet: Council of Ministers (elected by the Staten) |
| Executive branch: | elections: the monarch is hereditary; governor general appointed for a six-year term by the monarch; prime minister and deputy prime minister elected by the Staten for four-year terms; election last held 12 July 1997 (next to be held by December 2001) |
| Executive branch: | election results: Jan (Henny) H. EMAN elected prime minister; percent of legislative vote - NA%; Lili BEKE-MARTINEZ elected deputy prime minister; percent of legislative vote - NA% |
| Legislative branch: | unicameral Legislature or Staten (21 seats; members elected by direct, popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 12 December 1997 (next to be held by NA December 2001) |
| Legislative branch: | election results: percent of vote by party - AVP 43%, MEP 39%, OLA 9% PPA 4%, ADN 2%, PARA 1%, MAS 0.5%; seats by party - AVP 10, MEP 9, OLA 2 |
| Judicial branch: | Joint High Court of Justice (judges are appointed by the monarch) |
| Political parties and leaders: | Aruba Solidarity Movement or MAS [leader NA]; Aruban Democratic Party or PDA [Leo BERLINSKI]; Aruban Liberal Party or OLA [Glenbert CROES]; Aruban Patriotic Party or PPA [Benny NISBET]; Aruban People's Party or AVP [Tico CROES]; Electoral Movement Party or MEP [Nelson ODUBER]; For a Restructured Aruba Now or PARA [leader NA]; National Democratic Action or ADN [Pedro Charro KELLY] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Caricom (observer), ECLAC (associate), Interpol, IOC, UNESCO (associate), WCL, WToO (associate) |
| Diplomatic representation in the US: | none (represented by the Kingdom of the Netherlands) |
| Diplomatic representation from the US: | chief of mission: Consul General Barbara J. STEPHENSON |
| Diplomatic representation from the US: | embassy: J. B. Gorsiraweg #1, Curacao |
| Diplomatic representation from the US: | mailing address: P. O. Box 158, Willemstad, Curacao |
| Diplomatic representation from the US: | telephone: [599] (9) 461-3066 |
| Diplomatic representation from the US: | FAX: [599] (9) 461-6489 |
| Flag description: | blue, with two narrow, horizontal, yellow stripes across the lower portion and a red, four-pointed star outlined in white in the upper hoist-side corner |
