| Government | Vanuatu |
| --- | --- |
| Country name: | conventional long form: Republic of Vanuatu |
| Country name: | conventional short form: Vanuatu |
| Country name: | former: New Hebrides |
| Government type: | parliamentary republic |
| Capital: | Port-Vila (Efate) |
| Administrative divisions: | 6 provinces; Malampa, Penama, Sanma, Shefa, Tafea, Torba |
| Independence: | 30 July 1980 (from France and UK) |
| National holiday: | Independence Day, 30 July (1980) |
| Constitution: | 30 July 1980 |
| Legal system: | unified system being created from former dual French and British systems |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Kalkot Matas KELEKELE (since 16 August 2004) |
| Executive branch: | head of government: Prime Minister Ham LINI (since 11 December 2004); Deputy Prime Minister Sato KILMAN (since 11 December 2004); Prime Minister Serge VOHOR ousted in no-confidence vote on 11 December 2004 |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister, responsible to Parliament |
| Executive branch: | elections: president elected for a five-year term by an electoral college consisting of Parliament and the presidents of the regional councils; election for president last held 16 August 2004 (next to be held in 2009); following legislative elections, the leader of the majority party or majority coalition is usually elected prime minister by Parliament from among its members; election for prime minister last held 29 July 2004 (next to be held following general elections in 2008) |
| Executive branch: | election results: Kalkot Matas KELEKELE elected president, with 49 votes out of 56, after several ballots on 16 August 2004 |
| Legislative branch: | unicameral Parliament (52 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 6 July 2004 (next to be held 2008) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - UMP 8, VP 8, NUP 10, VRP 4, MPP 3, VGP 3, other and independent 16; note - political party associations are fluid |
| Legislative branch: | note: the National Council of Chiefs advises on matters of culture and language |
| Judicial branch: | Supreme Court (chief justice is appointed by the president after consultation with the prime minister and the leader of the opposition, three other justices are appointed by the president on the advice of the Judicial Service Commission) |
| Political parties and leaders: | Jon Frum Movement [Song KEASPAI]; Melanesian Progressive Party or MPP [Barak SOPE]; National United Party or NUP [leader NA]; Union of Moderate Parties or UMP [Serge VOHOR]; Vanua'aku Pati (Our Land Party) or VP [Edward NATAPEI]; Vanuatu Republican Party or VRP [Maxime Carlot KORMAN]; Vanuatu Greens Party or VGP [Moana CARCASSES] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AsDB, C, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFC, IFRCS, ILO, IMF, IMO, IOC, ITU, MIGA, NAM, PIF, Sparteca, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WMO, WTO (observer) |
| Diplomatic representation in the US: | Vanuatu does not have an embassy in the US; it does, however, have a Permanent Mission to the UN |
| Diplomatic representation from the US: | the US does not have an embassy in Vanuatu; the ambassador to Papua New Guinea is accredited to Vanuatu |
| Flag description: | two equal horizontal bands of red (top) and green with a black isosceles triangle (based on the hoist side) all separated by a black-edged yellow stripe in the shape of a horizontal Y (the two points of the Y face the hoist side and enclose the triangle); centered in the triangle is a boar's tusk encircling two crossed namele leaves, all in yellow |
