| Government | Japan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Japan |
| Country name: | local long form: Nihon-koku/Nippon-koku |
| Country name: | local short form: Nihon/Nippon |
| Government type: | a parliamentary government with a constitutional monarchy |
| Capital: | name: Tokyo |
| Capital: | geographic coordinates: 35 41 N, 139 45 E |
| Capital: | time difference: UTC+9 (14 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 47 prefectures; Aichi, Akita, Aomori, Chiba, Ehime, Fukui, Fukuoka, Fukushima, Gifu, Gunma, Hiroshima, Hokkaido, Hyogo, Ibaraki, Ishikawa, Iwate, Kagawa, Kagoshima, Kanagawa, Kochi, Kumamoto, Kyoto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Oita, Okayama, Okinawa, Osaka, Saga, Saitama, Shiga, Shimane, Shizuoka, Tochigi, Tokushima, Tokyo, Tottori, Toyama, Wakayama, Yamagata, Yamaguchi, Yamanashi |
| Independence: | 3 May 1947 (current constitution adopted as amendment to Meiji Constitution); notable earlier dates: 660 B.C. (traditional date of the founding of the nation by Emperor JIMMU); 29 November 1890 (Meiji Constitution provides for constitutional monarchy) |
| National holiday: | Birthday of Emperor AKIHITO, 23 December (1933) |
| Constitution: | previous 1890; latest approved 6 October 1946, adopted 3 November 1946, effective 3 May 1947 (2013) |
| Legal system: | civil law system based on German model; system also reflects Anglo-American influence and Japanese traditions; judicial review of legislative acts in the Supreme Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: Emperor AKIHITO (since 7 January 1989) |
| Executive branch: | head of government: Prime Minister Shinzo ABE (since 26 December 2012); Deputy Prime Minister Taro ASO (since 26 December 2012) |
| Executive branch: | cabinet: Cabinet is appointed by the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: Diet, the bicameral legislature, designates the prime minister; constitution requires that the prime minister commands parliamentary majority; following legislative elections, the leader of majority party or leader of majority coalition in House of Representatives usually becomes prime minister; the monarchy is hereditary |
| Legislative branch: | bicameral Diet or Kokkai consists of the House of Councillors or Sangi-in (242 seats - members elected for fixed six-year terms; 146 members in multi-seat constituencies and 96 by proportional representation) half elected every three years; and the House of Representatives or Shugi-in (480 seats - members elected for maximum four-year terms; 300 in single-seat constituencies; 180 members by proportional representation in 11 regional blocs); the prime minister has the right to dissolve the House of Representatives at any time with the concurrence of the cabinet |
| Legislative branch: | elections: House of Councillors - last held on 21 July 2013 (next to be held in July 2016); House of Representatives - last held on 16 December 2012 (next to be held by 15 December 2016) |
| Legislative branch: | election results: House of Councillors - percent of vote by party - NA; seats by party - LPD 115, DPJ 59, New Komeito 20, Your Party 18, JCP 11, JRP 9, SDP 3, others 4, independents 3 |
| Legislative branch: | House of Representatives - percent of vote by party (by proportional representation) - LDP 31.6%, DPJ 16.6%, JRP 22.2%, New Komeito 12.2%, Your Party 7.7%, JCP 4.4%, TRP 3.9%, others 1.4%; seats by party LDP 294, DPJ 57, JRP 54, New Komeito 31, Your Party 18, TPJ 9, JCP 8, others 4, independents 5 |
| Judicial branch: | highest court(s): Supreme Court or Saiko saibansho (consists of the chief justice and 14 associate justices) |
| Judicial branch: | note - the Supreme Court has jurisdiction in constitutional issues |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice designated by the Cabinet and appointed by the monarch; associate justices appointed by the Cabinet and confirmed by the monarch; all justices are reviewed in a popular referendum at the first general election of the House of Representatives following each judge's appointment and every 10 years afterward |
| Judicial branch: | subordinate courts: 8 High Courts (Koto-saiban-sho), each with a Family Court (Katei-saiban-sho); 50 District Courts (Chiho saibansho), with 203 additional branches; 438 Summary Courts (Kani saibansho) |
| Political parties and leaders: | Democratic Party of Japan or DPJ [Banri KAIEDA] |
| Political parties and leaders: | Japan Communist Party or JCP [Kazuo SHII] |
| Political parties and leaders: | Japan Restoration Party or JRP [Shintaro ISHIHARA] |
| Political parties and leaders: | Liberal Democratic Party or LDP [Shinzo ABE] |
| Political parties and leaders: | New Komeito or NK [Natsuo YAMAGUCHI] |
| Political parties and leaders: | People's Life Party or PF [Ichiro OZAWA] |
| Political parties and leaders: | Social Democratic Party or SDP [Mizuho FUKUSHIMA] |
| Political parties and leaders: | Tomorrow Party of Japan or TPJ [Tomoko ABE] |
| Political parties and leaders: | Your Party or YP [Yoshimi WATANABE] |
| Political pressure groups and leaders: | other: business groups; trade unions |
