| Government | French Southern and Antarctic Lands |
| --- | --- |
| Country name: | conventional long form: Territory of the French Southern and Antarctic Lands |
| Country name: | conventional short form: French Southern and Antarctic Lands |
| Country name: | local long form: Territoire des Terres Australes et Antarctiques Francaises |
| Country name: | local short form: Terres Australes et Antarctiques Francaises |
| Country name: | abbreviation: TAAF |
| Dependency status: | overseas territory of France since 1955; administered from Paris by Administrateur Superieur Michel CHAMPON (since 20 December 2004), assisted by Secretary General Jean-Yves HERMOSO (since NA) |
| Administrative divisions: | none (overseas territory of France); there are no first-order administrative divisions as defined by the US Government, but there are three districts named Ile Crozet, Iles Kerguelen, Iles Saint-Paul et Amsterdam; excludes "Adelie Land" claim in Antarctica that is not recognized by the US |
| Legal system: | the laws of France, where applicable, apply |
| Executive branch: | chief of state: President Jacques CHIRAC of France (since 17 May 1995), represented by Senior Administrator Michel CHAMPON |
| Diplomatic representation in the US: | none (overseas territory of France) |
| Diplomatic representation from the US: | none (overseas territory of France) |
| Flag description: | the flag of France is used |
