| Government | Virgin Islands |
| --- | --- |
| Country name: | conventional long form: United States Virgin Islands |
| Country name: | conventional short form: Virgin Islands |
| Country name: | former: Danish West Indies |
| Country name: | abbreviation: USVI |
| Dependency status: | organized, unincorporated territory of the US with policy relations between the Virgin Islands and the US under the jurisdiction of the Office of Insular Affairs, US Department of the Interior |
| Government type: | NA |
| Capital: | name: Charlotte Amalie |
| Capital: | geographic coordinates: 18 21 N, 64 56 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (territory of the US); there are no first-order administrative divisions as defined by the US Government, but there are three islands at the second order; Saint Croix, Saint John, Saint Thomas |
| Independence: | none (territory of the US) |
| National holiday: | Transfer Day (from Denmark to the US), 27 March (1917) |
| Constitution: | Revised Organic Act of 22 July 1954 |
| Legal system: | based on US laws |
| Suffrage: | 18 years of age; universal; island residents are US citizens but do not vote in US presidential elections |
| Executive branch: | chief of state: President George W. BUSH of the US (since 20 January 2001); Vice President Richard B. CHENEY (since 20 January 2001) |
| Executive branch: | head of government: Governor John DeJONGH (since 1 January 2007) |
| Executive branch: | cabinet: NA |
| Executive branch: | elections: under the US Constitution, residents of unincorporated territories, such as the Virgin Islands, do not vote in elections for US president and vice president; governor and lieutenant governor elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held 7 and 21 November 2006 (next to be held November 2010) |
| Executive branch: | election results: John DeJONGH elected governor; percent of vote - John DeJONGH 57.3%, Kenneth MAPP 42.7% |
| Legislative branch: | unicameral Senate (15 seats; members are elected by popular vote to serve two-year terms) |
| Legislative branch: | elections: last held 7 November 2006 (next to be held November 2008) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - Democratic Party 8, ICM 4, independent 3 |
| Legislative branch: | note: the Virgin Islands elects one non-voting representative to the US House of Representatives; election last held 7 November 2006 (next to be held November 2008) |
| Judicial branch: | US District Court of the Virgin Islands (under Third Circuit jurisdiction); Superior Court of the Virgin Islands (judges appointed by the governor for 10-year terms) |
| Political parties and leaders: | Democratic Party [Arturo WATLINGTON]; Independent Citizens' Movement or ICM [Usie RICHARDS]; Republican Party [Gary SPRAUVE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | IOC, UPU |
| Diplomatic representation in the US: | none (territory of the US) |
| Diplomatic representation from the US: | none (territory of the US) |
| Flag description: | white, with a modified US coat of arms in the center between the large blue initials V and I; the coat of arms shows a yellow eagle holding an olive branch in one talon and three arrows in the other with a superimposed shield of vertical red and white stripes below a blue panel |
