| Government | Norfolk Island |
| --- | --- |
| Country name: | conventional long form: Territory of Norfolk Island |
| Country name: | conventional short form: Norfolk Island |
| Dependency status: | self governing territory of Australia; administered from Canberra by the Australian Government Attorney-General's Department |
| Government type: | NA |
| Capital: | name: Kingston |
| Capital: | geographic coordinates: 29 03 S, 167 58 E |
| Capital: | time difference: UTC+11.5 (16.5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (territory of Australia) |
| Independence: | none (territory of Australia) |
| National holiday: | Bounty Day (commemorates the arrival of Pitcairn Islanders), 8 June (1856) |
| Constitution: | Norfolk Island Act of 1979 as amended in 2005 |
| Legal system: | based on the laws of Australia, local ordinances and acts; English common law applies in matters not covered by either Australian or Norfolk Island law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by the Australian governor general |
| Executive branch: | head of government: Administrator Owen WALSH (since October 2007) |
| Executive branch: | cabinet: Executive Council made up of 4 of the 9 members of the Legislative Assembly; the council devises government policy and acts as an advisor to the administrator |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; administrator appointed by the governor general of Australia and represents the monarch and Australia |
| Legislative branch: | unicameral Legislative Assembly (9 seats; members elected by electors who have nine equal votes each but only four votes can be given to any one candidate; members to serve three-year terms) |
| Legislative branch: | elections: last held on 17 March 2010 (next to be held in 2013) |
| Legislative branch: | election results: seats - independents 9 (note - no political parties) |
| Judicial branch: | Supreme Court; Court of Petty Sessions |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | UPU |
| Diplomatic representation in the US: | none (territory of Australia) |
| Diplomatic representation from the US: | none (territory of Australia) |
| Flag description: | three vertical bands of green (hoist side), white, and green with a large green Norfolk Island pine tree centered in the slightly wider white band; green stands for the rich vegetation on the island, and the pine tree - endemic to the island - is a symbol of Norfolk Island |
| Flag description: | note: somewhat reminiscent of the flag of Canada with its use of only two colors and depiction of a prominent local floral symbol in the central white band |
| National anthem: | name: "Come Ye Blessed" |
| National anthem: | lyrics/music: New Testament/John Prindle SCOTT |
| National anthem: | note: the local anthem, whose lyrics consist of the words from Matthew 25:34-36, 40, is also known as "The Pitcairn Anthem;" as a territory of Australia, "God Save the Queen" is official (see Australia), however, the island does not recognize "Advance Australia Fair" |
