| Government | Guadeloupe |
| --- | --- |
| Country name: | conventional long form: Department of Guadeloupe |
| Country name: | conventional short form: Guadeloupe |
| Country name: | local long form: Departement de la Guadeloupe |
| Country name: | local short form: Guadeloupe |
| Dependency status: | overseas department of France |
| Government type: | NA |
| Capital: | Basse-Terre |
| Administrative divisions: | none (overseas department of France) |
| Independence: | none (overseas department of France) |
| National holiday: | Bastille Day, 14 July (1789) |
| Constitution: | 4 October 1958 (French Constitution) |
| Legal system: | French legal system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jacques CHIRAC of France (since 17 May 1995), represented by Prefect Paul GIROT DE LANGLADE (since 17 August 2004) |
| Executive branch: | head of government: President of the General Council Jacques GILLOT (since 26 March 2001); President of the Regional Council Victorin LUREL (since 2 April 2004) |
| Executive branch: | cabinet: NA |
| Executive branch: | elections: French president elected by popular vote for a five-year term; prefect appointed by the French president on the advice of the French Ministry of Interior; the presidents of the General and Regional Councils are elected by the members of those councils |
| Executive branch: | election results: NA |
| Legislative branch: | unicameral General Council or Conseil General (42 seats; members are elected by popular vote to serve six-year terms) and the unicameral Regional Council or Conseil Regional (41 seats; members are elected by popular vote to serve six-year terms) |
| Legislative branch: | elections: General Council - last held March 2004 (next to be held by NA 2010); Regional Council - last held 28 March 2004 (next to be held NA 2010) |
| Legislative branch: | election results: General Council - percent of vote by party - NA%; seats by party - left-wing candidates 11, PS 8, RPR 8, PPDG 6, right-wing candidates 5, PCG 3, UDF 1; Regional Council (second round) - percent of vote by party - PS 58.4%, UMP 41.6%; seats by party - PS 29, UMP 12 |
| Legislative branch: | note: Guadeloupe elects two representatives to the French Senate; elections last held September 2004 (next to be held September 2013); percent of vote by party - NA%; seats by party - NA, Guadeloupe elects four representatives to the French National Assembly; elections last held 9 June-16 June 2002 (next to be held NA 2007); percent of vote by party - NA%; seats by party - RPR 2, PS 1, different right parties 1 |
| Judicial branch: | Court of Appeal or Cour d'Appel with jurisdiction over Guadeloupe, French Guiana, and Martinique |
| Political parties and leaders: | Communist Party of Guadeloupe or PCG [Mona CADOCE]; FGPS [Dominique LARIFLA]; Left Radical Party or PRG [Flavien FERRANT]; Progressive Democratic Party or PPDG [Henri BANGOU]; Socialist Party or PS [Marlene MELISSE and Favrot DAVRAIN]; Union for French Democracy or UDF [Marcel ESDRAS]; Union for a Popular Movement or UMP (including RPR) [Robert JOYEUX] |
| Political pressure groups and leaders: | Christian Movement for the Liberation of Guadeloupe or KLPG; General Federation of Guadeloupe Workers or CGT-G; General Union of Guadeloupe Workers or UGTG; Movement for Independent Guadeloupe or MPGI; The Socialist Renewal Movement |
| International organization participation: | WCL, WFTU |
| Diplomatic representation in the US: | none (overseas department of France) |
| Diplomatic representation from the US: | none (overseas department of France) |
| Flag description: | the flag of France is used |
