| Government | AMERICAN SAMOA |
| --- | --- |
| Country name: | conventional long form: Territory of American Samoa |
| Country name: | conventional short form: American Samoa |
| Country name: | abbreviation: AS |
| Country name: | etymology: the name Samoa is composed of two parts, "sa" meaning "sacred" and "moa" meaning "center," so the name can mean Holy Center; alternatively, it can mean "place of the sacred moa bird" of Polynesian mythology |
| Dependency status: | unincorporated and unorganized territory of the US; administered by the Office of Insular Affairs, US Department of the Interior |
| Government type: | NA |
| Capital: | name: Pago Pago |
| Capital: | geographic coordinates: 14 16 S, 170 42 W |
| Capital: | time difference: UTC-11 (6 hours behind Washington, DC, during Standard Time) |
| Administrative divisions: | none (territory of the US); there are no first-order administrative divisions as defined by the US Government, but there are 3 districts and 2 islands* at the second order; Eastern, Manu'a, Rose Island*, Swains Island*, Western |
| Independence: | none (territory of the US) |
| National holiday: | Flag Day, 17 April (1900) |
| Constitution: | adopted 17 October 1960; revised 1 July 1967; amended 1971, 1977, 1979 (2015) |
| Legal system: | mixed legal system of US common law and customary law |
| Citizenship: | see United States |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Barack H. OBAMA (since 20 January 2009); Vice President Joseph R. BIDEN (since 20 January 2009) |
| Executive branch: | head of government: Governor Lolo Matalasi MOLIGA (since 3 January 2013) |
| Executive branch: | cabinet: Cabinet consists of 12 department directors appointed by the governor with the consent of the Legislative Assembly |
| Executive branch: | elections/appointments: president and vice president indirectly elected on the same ballot by an Electoral College of 'electors' chosen from each state to serve a 4-year term (eligible for a second term); under the US Constitution, residents of unincorporated territories, such as American Samoa, do not vote in elections for US president and vice president; however, they may vote in Democratic and Republican presidential primary elections; governor and lieutenant governor directly elected on the same ballot by absolute majority popular vote in 2 rounds if needed for a 4-year term (eligible for a second term); election last held on 6 November 2012 with a runoff on 20 November 2012 (next to be held in November 2016) |
| Executive branch: | election results: Lolo Matalasi MOLIGA elected governor; percent of vote in second round - Lolo Matalasi MOLIGA (independent) 52.9%, Faoa Aitofele SUNIA (Democratic Party) 47.1% |
| Legislative branch: | description: bicameral Fono or Legislative Assembly consists of the Senate (18 seats; members indirectly selected by regional governing councils to serve 4-year terms) and the House of Representatives (21 seats; 20 members directly elected by simple majority vote and 1 decided by public meeting on Swains Island; members serve 2-year terms) |
| Legislative branch: | elections: House of Representatives - last held on 4 November 2014 (next to be held in November 2016); Senate - last held on 6 November 2012 (next to be held in November 2016) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - independents 18; House of Representatives - percent of vote by party - NA; seats by party - independents 20 |
| Legislative branch: | note: American Samoa elects 1 member by simple majority vote to serve a 2-year term as a delegate to the US House of Representatives; the delegate can vote when serving on a committee and when the House meets as the Committee of the Whole House, but not when legislation is submitted for a &ldquo;full floor&rdquo; House vote; election of delegate last held on 4 November 2014 (next to be held on November 2016) |
| Judicial branch: | highest court(s): High Court of American Samoa (consists of the chief justice, associate chief justice, and 6 Samoan associate judges and organized into trial, family, drug, and appellate divisions) |
| Judicial branch: | note - American Samoa has no US federal courts |
| Judicial branch: | judge selection and term of office: chief justice and associate chief justice appointed by the US Secretary of the Interior to serve for life; Samoan associate judges appointed by the governor to serve for life |
| Judicial branch: | subordinate courts: district and village courts |
| Political parties and leaders: | Democratic Party [Oreta M. TOGAFAU] |
| Political parties and leaders: | Republican Party [Tautai A. F. FAALEVAO] |
| International organization participation: | AOSIS (observer), Interpol (subbureau), IOC, PIF (observer), SPC |
| Diplomatic representation in the US: | none (territory of the US) |
| Diplomatic representation from the US: | none (territory of the US) |
| Flag description: | blue, with a white triangle edged in red that is based on the fly side and extends to the hoist side; a brown and white American bald eagle flying toward the hoist side is carrying two traditional Samoan symbols of authority, a war club known as a "fa'alaufa'i" (upper; left talon), and a coconut fiber fly whisk known as a "fue" (lower; right talon); the combination of symbols broadly mimics that seen on the US Great Seal and reflects the relationship between the United States and American Samoa |
| National symbol(s): | a fue (coconut fiber fly whisk) crossed with a to'oto'o (staff); national colors: red, white, blue |
| National anthem: | name: "Amerika Samoa" (American Samoa) |
| National anthem: | lyrics/music: Mariota Tiumalu TUIASOSOPO/Napoleon Andrew TUITELELEAPAGA |
| National anthem: | note: local anthem adopted 1950; as a territory of the United States, "The Star-Spangled Banner" is official (see United States) |
