| Government | Poland |
| --- | --- |
| Country name: | conventional long form: Republic of Poland |
| Country name: | conventional short form: Poland |
| Country name: | local short form: Polska |
| Country name: | local long form: Rzeczpospolita Polska |
| Government type: | republic |
| Capital: | Warsaw |
| Administrative divisions: | 16 provinces (wojewodztwa, singular - wojewodztwo); Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubelskie, Lubuskie, Malopolskie, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodniopomorskie |
| Independence: | 11 November 1918 (independent republic proclaimed) |
| National holiday: | Constitution Day, 3 May (1791) |
| Constitution: | adopted by the National Assembly 2 April 1997; passed by national referendum 25 May 1997; effective 17 October 1997 |
| Legal system: | mixture of Continental (Napoleonic) civil law and holdover Communist legal theory; changes being gradually introduced as part of broader democratization process; limited judicial review of legislative acts, but rulings of the Constitutional Tribunal are final; court decisions can be appealed to the European Court of Justice in Strasbourg |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Aleksander KWASNIEWSKI (since 23 December 1995) |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 8 October 2000 (next to be held NA October 2005); prime minister and deputy prime ministers appointed by the president and confirmed by the Sejm |
| Executive branch: | head of government: Prime Minister Marek BELKA (since 24 June 2004); Deputy Prime Minister Jerzy HAUSNER (since 11 June 2003) |
| Executive branch: | cabinet: Council of Ministers responsible to the prime minister and the Sejm; the prime minister proposes, the president appoints, and the Sejm approves the Council of Ministers |
| Executive branch: | election results: Aleksander KWASNIEWSKI reelected president; percent of popular vote - Aleksander KWASNIEWSKI 53.9%, Andrzej OLECHOWSKI 17.3%, Marian KRZAKLEWSKI 15.6%, Lech WALESA 1% |
| Legislative branch: | bicameral legislature consisting of an upper house, the Senate or Senat (100 seats; members are elected by a majority vote on a provincial basis to serve four-year terms), and a lower house, the Sejm (460 seats; members are elected under a complex system of proportional representation to serve four-year terms); the designation of National Assembly or Zgromadzenie Narodowe is only used on those rare occasions when the two houses meet jointly |
| Legislative branch: | elections: Sejm elections last held 23 September 2001 (next to be held by September 2005); Senate - last held 23 September 2001 (next to be held by September 2005) |
| Legislative branch: | election results: Sejm - percent of vote by party - SLD-UP 41%, PO 12.7%, Samoobrona 10.2%, PiS 9.5%, PSL 9%, LPR 7.9%, AWSP 5.6% UW 3.1%, other 1%; seats by party (as of 10 December 2004) - SLD 154, PO 56, PiS 44, PSL 40, SDPL 33, SO 30, LPR 25, UP 15, PLD 11, SKL 6, RKN 5, Dom Ojczysty 4, PP 3, ROP 3, German minorities 2, independents 26; Senate - percent of vote by party - NA%; seats by party (as of 10 December 2004)- SLD-UP 74, Block Senate 2001 10, PSL and unaffiliated 5, UW 4, SO 2, LPR 2, independents 2, PiS 1 |
| Legislative branch: | note: two seats are assigned to ethnic minority parties in the Sejm only |
| Judicial branch: | Supreme Court (judges are appointed by the president on the recommendation of the National Council of the Judiciary for an indefinite period); Constitutional Tribunal (judges are chosen by the Sejm for nine-year terms) |
