| Government | Poland |
| --- | --- |
| Country name: | conventional long form: Republic of Poland |
| Country name: | conventional short form: Poland |
| Country name: | local long form: Rzeczpospolita Polska |
| Country name: | local short form: Polska |
| Government type: | republic |
| Capital: | name: Warsaw |
| Capital: | geographic coordinates: 52 15 N, 21 00 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 16 provinces (wojewodztwa, singular - wojewodztwo); Dolnoslaskie wojewodztwo, Kujawsko-Pomorskie wojewodztwo, Lodzkie wojewodztwo, Lubelskie wojewodztwo, Lubuskie wojewodztwo, Malopolskie wojewodztwo, Mazowieckie wojewodztwo, Opolskie wojewodztwo, Podkarpackie wojewodztwo, Podlaskie wojewodztwo, Pomorskie wojewodztwo, Slaskie wojewodztwo, Swietokrzyskie wojewodztwo, Warminsko-Mazurskie wojewodztwo, Wielkopolskie wojewodztwo, Zachodniopomorskie wojewodztwo |
| Independence: | 11 November 1918 (republic proclaimed) |
| National holiday: | Constitution Day, 3 May (1791) |
| Constitution: | adopted by the National Assembly 2 April 1997; passed by national referendum 25 May 1997; effective 17 October 1997 |
| Legal system: | based on a mixture of Continental (Napoleonic) civil law and holdover Communist legal theory; changes being gradually introduced as part of broader democratization process; limited judicial review of legislative acts, but rulings of the Constitutional Tribunal are final; court decisions can be appealed to the European Court of Justice in Strasbourg; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lech KACZYNSKI (since 23 December 2005) |
| Executive branch: | head of government: Prime Minister Donald TUSK (since 16 November 2007); Deputy Prime Ministers Waldemar PAWLAK (since 16 November 2007) and Grzegorz SCHETYNA (since 16 November 2007) |
| Executive branch: | cabinet: Council of Ministers responsible to the prime minister and the Sejm; the prime minister proposes, the president appoints, and the Sejm approves the Council of Ministers |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 9 and 23 October 2005 (next to be held in the fall 2010); prime minister and deputy prime ministers appointed by the president and confirmed by the Sejm |
| Executive branch: | election results: Lech KACZYNSKI elected president; percent of popular vote - Lech KACZYNSKI 54%, Donald Tusk 46% |
| Legislative branch: | bicameral National Assembly or Zgromadzenie Narodowe consists of the Senate or Senat (upper house) (100 seats; members are elected by a majority vote on a provincial basis to serve four-year terms), and the Sejm (lower house) (460 seats; members are elected under a complex system of proportional representation to serve four-year terms); the designation of National Assembly is only used on those rare occasions when the two houses meet jointly |
| Legislative branch: | elections: Senate - last held 21 September 2007 (next to be held by September 2011); Sejm elections last held 21 September 2007 (next to be held by September 2011) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PO 60, PiS 39, independents 1; Sejm - percent of vote by party - PO 41.5%, PiS 32.1%, SLD 13.2%, PSL 8.9%, other 4.3%; seats by party - PO 209, PiS 166, SLD 53, PSL 31, German minorities 1 |
| Legislative branch: | note: one seat is assigned to ethnic minority parties in the Sejm only |
| Judicial branch: | Supreme Court (judges are appointed by the president on the recommendation of the National Council of the Judiciary for an indefinite period); Constitutional Tribunal (judges are chosen by the Sejm for nine-year terms) |
