| Government |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Gibraltar |
| Dependency status: | overseas territory of the UK |
| Government type: | NA |
| Capital: | Gibraltar |
| Administrative divisions: | none (overseas territory of the UK) |
| Independence: | none (overseas territory of the UK) |
| National holiday: | Commonwealth Day, second Monday of March |
| Constitution: | 30 May 1969 |
| Legal system: | English law |
| Suffrage: | 18 years of age; universal, plus other UK subjects who have been residents six months or more |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Governor and Commander-in-Chief David DURIE (since 5 April 2000); note - DURIE was appointed in February 2000 but took office in April 2000 |
| Executive branch: | head of government: Chief Minister Peter CARUANA (since 17 May 1996) |
| Executive branch: | cabinet: Council of Ministers appointed from among the 15 elected members of the House of Assembly by the governor in consultation with the chief minister; note - there is also a Gibraltar Council that advises the governor |
| Executive branch: | elections: none; the monarch is hereditary; governor appointed by the monarch; chief minister appointed by the governor |
| Legislative branch: | unicameral House of Assembly (18 seats - 15 elected by popular vote, one appointed for the Speaker, and two ex officio members; members serve four-year terms) |
| Legislative branch: | elections: last held 10 February 2000 (next to be held NA 2004) |
| Legislative branch: | election results: percent of vote by party - GSD 58%, GSLP 41%; seats by party - GSD 8, GSLP 7 |
| Judicial branch: | Supreme Court; Court of Appeal |
| Political parties and leaders: | Gibraltar Social Democrats or GSD [Peter CARUANA]; Gibraltar Socialist Labor Party or GSLP [Joseph John BOSSANO] |
| Political pressure groups and leaders: | Chamber of Commerce; Gibraltar Representatives Organization; Housewives Association |
| International organization participation: | Interpol (subbureau) |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | two horizontal bands of white (top, double width) and red with a three-towered red castle in the center of the white band; hanging from the castle gate is a gold key centered in the red band |
