| Government | United States |
| --- | --- |
| Country name: | conventional long form: United States of America |
| Country name: | conventional short form: United States |
| Country name: | abbreviation: US or USA |
| Country name: | etymology: the name America is derived from that of Amerigo VESPUCCI (1454-1512) - Italian explorer, navigator, and cartographer - using the Latin form of his name, Americus, feminized to America |
| Government type: | constitutional federal republic |
| Capital: | name: Washington, DC |
| Capital: | geographic coordinates: 38 53 N, 77 02 W |
| Capital: | time difference: UTC-5 (during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Capital: | note: the 50 United States cover six time zones |
| Capital: | etymology: named after George Washington (1732-1799), the first president of the United States |
| Administrative divisions: | 50 states and 1 district*; Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia*, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming |
| Dependent areas: | American Samoa, Baker Island, Guam, Howland Island, Jarvis Island, Johnston Atoll, Kingman Reef, Midway Islands, Navassa Island, Northern Mariana Islands, Palmyra Atoll, Puerto Rico, Virgin Islands, Wake Island |
| Dependent areas: | note: from 18 July 1947 until 1 October 1994, the US administered the Trust Territory of the Pacific Islands; it entered into a political relationship with all four political entities: the Northern Mariana Islands is a commonwealth in political union with the US (effective 3 November 1986); the Republic of the Marshall Islands signed a Compact of Free Association with the US (effective 21 October 1986); the Federated States of Micronesia signed a Compact of Free Association with the US (effective 3 November 1986); Palau concluded a Compact of Free Association with the US (effective 1 October 1994) |
| Independence: | 4 July 1776 (declared independence from Great Britain); 3 September 1783 (recognized by Great Britain) |
| National holiday: | Independence Day, 4 July (1776) |
| Constitution: | history: previous 1781 (Articles of Confederation and Perpetual Union); latest drafted July - September 1787, submitted to the Congress of the Confederation 20 September 1787, submitted for states' ratification 28 September 1787, ratification completed by nine of the 13 states 21 June 1788, effective 4 March 1789 |
| Constitution: | amendments: proposed as a "joint resolution" by Congress, which requires a two-thirds majority vote in both the House of Representatives and the Senate or by a constitutional convention called for by at least two thirds of the state legislatures; passage requires ratification by three fourths of the state legislatures or passage in state-held constitutional conventions as specified by Congress; the US president has no role in the constitutional amendment process; amended many times, last in 1992 |
| Legal system: | common law system based on English common law at the federal level; state legal systems based on common law, except Louisiana, where state law is based on Napoleonic civil code; judicial review of legislative acts |
| International law organization participation: | withdrew acceptance of compulsory ICJ jurisdiction in 2005; withdrew acceptance of ICCt jurisdiction in 2002 |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: no, but the US government acknowledges such situtations exist; US citizens are not encouraged to seek dual citizenship since it limits protection by the US |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Donald J. TRUMP (since 20 January 2017); Vice President Michael R. PENCE (since 20 January 2017); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Donald J. TRUMP (since 20 January 2017); Vice President Michael R. PENCE (since 20 January 2017)Â  |
| Executive branch: | cabinet: Cabinet appointed by the president, approved by the Senate |
| Executive branch: | elections/appointments: president and vice president indirectly elected on the same ballot by the Electoral College of 'electors' chosen from each state; president and vice president serve a 4-year term (eligible for a second term); election last held on 8 November 2016 (next to be held on 3 November 2020) |
| Executive branch: | election results: Donald J. TRUMP elected president; electoral vote - Donald J. TRUMP (Republican Party) 304, Hillary D. CLINTON (Democratic Party) 227, other 7; percent of direct popular vote - Hillary D. CLINTON 48.2%, Donald J. TRUMP 46.1%, other 5.7% |
| Legislative branch: | description: bicameral Congress consists of: |
| Legislative branch: | Senate (100 seats; 2 members directly elected in each of the 50 state constituencies by simple majority vote except in Georgia and Louisiana which require an absolute majority vote with a second round if needed; members serve 6-year terms with one-third of membership renewed every 2 years) |
| Legislative branch: | House of Representatives (435 seats; members directly elected in single-seat constituencies by simple majority vote except in Georgia which requires an absolute majority vote with a second round if needed; members serve 2-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held onÂ 6 November 2018 (next to be held onÂ 3 November 2020) |
| Legislative branch: | House of Representatives - last held onÂ 6 November 2018 (next to be held onÂ 3 November 2020) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - NA; seats by party - Republican Party 53, Democratic Party 45, independent 2; composition - men 75, women 25, percent of women 25% |
| Legislative branch: | House of Representatives - percent of vote by party - NA; seats by party - Democratic Party 234, Republican Party 200, 1 seat still undecided; composition - men 328, women 106, percent of women 24.4%; note - total US Congress percent of women 24.5% |
| Legislative branch: | note: in addition to the regular members of the House of Representatives there are 6 non-voting delegates elected from the District of Columbia and the US territories of American Samoa, Guam, Puerto Rico, the Northern Mariana Islands, and the Virgin Islands; these are single seat constituencies directly elected by simple majority vote to serve a 2-year term (except for the resident commissioner of Puerto Rico who serves a 4-year term); the delegate can vote when serving on a committee and when the House meets as the Committee of the Whole House, but not when legislation is submitted for a â€œfull floorâ€? House vote; election of delegates last held on 6 November 2018 (next to be held on 3 November 2020) |
| Judicial branch: | highest courts: US Supreme Court (consists of 9 justices - the chief justice and 8 associate justices) |
| Judicial branch: | judge selection and term of office: president nominates and, with the advice and consent of the Senate, appoints Supreme Court justices; justices serve for life |
| Judicial branch: | subordinate courts: Courts of Appeal (includes the US Court of Appeal for the Federal District and 12 regional appeals courts); 94 federal district courts in 50 states and territories |
| Judicial branch: | note: the US court system consists of the federal court system and the state court systems; although each court system is responsible for hearing certain types of cases, neither is completely independent of the other, and the systems often interact |
| Political parties and leaders: | Democratic Party [Tom PEREZ] |
| Political parties and leaders: | Green Party [collective leadership] |
