| Government | UNITED STATES |
| --- | --- |
| Country name: | conventional long form: United States of America |
| Country name: | conventional short form: United States |
| Country name: | abbreviation: US or USA |
| Country name: | note: the name America is derived from that of Amerigo VESPUCCI (1454-1512), Italian explorer, navigator, and cartographer |
| Government type: | constitution-based federal republic; strong democratic tradition |
| Capital: | name: Washington, DC |
| Capital: | geographic coordinates: 38 53 N, 77 02 W |
| Capital: | time difference: UTC-5 (during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Capital: | note: the 50 United States cover six time zones |
| Administrative divisions: | 50 states and 1 district*; Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia*, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming |
| Dependent areas: | American Samoa, Baker Island, Guam, Howland Island, Jarvis Island, Johnston Atoll, Kingman Reef, Midway Islands, Navassa Island, Northern Mariana Islands, Palmyra Atoll, Puerto Rico, Virgin Islands, Wake Island |
| Dependent areas: | note: from 18 July 1947 until 1 October 1994, the US administered the Trust Territory of the Pacific Islands; it entered into a political relationship with all four political entities: the Northern Mariana Islands is a commonwealth in political union with the US (effective 3 November 1986); the Republic of the Marshall Islands signed a Compact of Free Association with the US (effective 21 October 1986); the Federated States of Micronesia signed a Compact of Free Association with the US (effective 3 November 1986); Palau concluded a Compact of Free Association with the US (effective 1 October 1994) |
| Independence: | 4 July 1776 (declared); 3 September 1783 (recognized by Great Britain) |
| National holiday: | Independence Day, 4 July (1776) |
| Constitution: | previous 1781 (Articles of Confederation and Perpetual Union); latest drafted July - September 1787, submitted to the Congress of the Confederation 20 September 1787, submitted for states' ratification 28 September 1787, ratification completed by nine states 21 June 1788, effective 4 March 1789; amended many times, last in 1992 (2014) |
| Legal system: | common law system based on English common law at the federal level; state legal systems based on common law except Louisiana, which is based on Napoleonic civil code; judicial review of legislative acts |
| International law organization participation: | withdrew acceptance of compulsory ICJ jurisdiction in 2005; withdrew acceptance of ICCt jurisdiction in 2002 |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Barack H. OBAMA (since 20 January 2009); Vice President Joseph R. BIDEN (since 20 January 2009); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Barack H. OBAMA (since 20 January 2009); Vice President Joseph R. BIDEN (since 20 January 2009) |
| Executive branch: | cabinet: Cabinet appointed by the president, approved by the Senate |
| Executive branch: | elections/appointments: president and vice president indirectly elected on the same ballot by the Electoral College of 'electors' chosen from each state; president and vice president serve a 4-year term (eligible for a second term); election last held on 6 November 2012 (next to be held on 8 November 2016) |
| Executive branch: | election results: Barack H. OBAMA reelected president; electoral vote count - Barack H. OBAMA (Democratic Party) 332, Mitt ROMNEY 206 (Republican Party); percent of direct popular vote - Barack H. OBAMA 50.6%, Mitt ROMNEY 47.9%, other 1.5% |
| Legislative branch: | description: bicameral Congress consists of the Senate (100 seats; 2 members directly elected in each of the 50 state constituencies by simple majority vote except in Georgia and Louisiana which require an absolute majority vote with a second round if needed; members serve 6-year terms with one-third of membership renewed every 2 years) and the House of Representatives (435 seats; members directly elected in single-seat constituencies by simple majority vote except in Georgia which requires an absolute majority vote with a second round if needed; members serve 2-year terms) |
| Legislative branch: | elections: Senate - last held on 4 November 2014 (next to be held on 8 November 2016); House of Representatives - last held on 4 November 2014 (next to be held on 8 November 2016) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - Democratic Party 44, Republican Party 54, independent 2; House of Representatives - percent of vote by party - NA; seats by party - Democratic Party 188, Republican Party 247 |
| Legislative branch: | note: in addition to the regular members of the House of Representatives there are 6 non-voting delegates elected from the District of Columbia and the US territories of American Samoa, Guam, Puerto Rico, the Northern Mariana Islands, and the Virgin Islands; these are single seat constituencies directly elected by simple majority vote to serve a 2-year term; the delegate can vote when serving on a committee and when the House meets as the Committee of the Whole House, but not when legislation is submitted for a &ldquo;full floor&rdquo; House vote; election of delegates last held on 4 November 2014 (next to be held on 1 November 2016) |
| Judicial branch: | highest court(s): US Supreme Court (consists of 9 justices - the chief justice and 8 associate justices) |
| Judicial branch: | judge selection and term of office: president nominates and, with the advice and consent of the Senate, appoints Supreme Court justices; justices appointed for life |
| Judicial branch: | subordinate courts: Courts of Appeal (includes the US Court of Appeal for the Federal District and 12 regional appeals courts); 94 federal district courts in 50 states and territories |
| Judicial branch: | note: the US court system consists of the federal court system and the state court systems; although each court system is responsible for hearing certain types of cases, neither is completely independent of the other, and the systems often interact |
| Political parties and leaders: | Democratic Party [Debbie Wasserman SCHULTZ] |
| Political parties and leaders: | Green Party [Brian Bittner] |
| Political parties and leaders: | Libertarian Party [Nicholas SARWARK] |
| Political parties and leaders: | Republican Party [Reince PRIEBUS] |
| Political pressure groups and leaders: | other: environmentalists; business groups; labor unions; churches; ethnic groups; political action committees or PACs; health groups; education groups; civic groups; youth groups; transportation groups; agricultural groups; veterans groups; women's groups; reform lobbies |
